DATE,STATION,LONGITUDE,PRCP_ATTRIBUTES,TMAX,ELEVATION,TMAX_ATTRIBUTES,TMIN,PRCP,LATITUDE,NAME,TMIN_ATTRIBUTES
2023-05-20,USW00094728,-73.96925,",,W,2400",18.3,42.7,",,W",13.9,19.6,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-05-21,USW00094728,-73.96925,",,W,2400",21.1,42.7,",,W",12.8,0.5,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-05-22,USW00094728,-73.96925,",,W,2400",23.9,42.7,",,W",13.9,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-05-23,USW00094728,-73.96925,",,W,2400",21.1,42.7,",,W",12.2,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-05-24,USW00094728,-73.96925,",,W,2400",25.0,42.7,",,W",11.7,2.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-05-25,USW00094728,-73.96925,",,W,2400",20.0,42.7,",,W",10.0,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-05-26,USW00094728,-73.96925,",,W,2400",22.2,42.7,",,W",11.7,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-05-27,USW00094728,-73.96925,",,W,2400",25.6,42.7,",,W",13.3,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-05-28,USW00094728,-73.96925,",,W,2400",26.1,42.7,",,W",15.0,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-05-29,USW00094728,-73.96925,",,W,2400",26.1,42.7,",,W",15.0,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-05-30,USW00094728,-73.96925,",,W,2400",22.2,42.7,",,W",12.8,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-05-31,USW00094728,-73.96925,",,W,2400",25.0,42.7,",,W",10.6,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-06-01,USW00094728,-73.96925,",,W,2400",30.6,42.7,",,W",15.0,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-06-02,USW00094728,-73.96925,",,W,2400",32.8,42.7,",,W",18.9,6.1,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-06-03,USW00094728,-73.96925,",,W,2400",20.6,42.7,",,W",12.2,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-06-04,USW00094728,-73.96925,",,W,2400",20.6,42.7,",,W",9.4,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-06-05,USW00094728,-73.96925,",,W,2400",24.4,42.7,",,W",13.3,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-06-06,USW00094728,-73.96925,"T,,W,2400",26.1,42.7,",,W",15.6,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-06-07,USW00094728,-73.96925,",,W,2400",20.6,42.7,",,W",13.9,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-06-08,USW00094728,-73.96925,",,W,2400",22.2,42.7,",,W",12.8,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-06-09,USW00094728,-73.96925,"T,,W,2400",22.2,42.7,",,W",14.4,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-06-10,USW00094728,-73.96925,"T,,W,2400",25.6,42.7,",,W",14.4,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-06-11,USW00094728,-73.96925,",,W,2400",27.8,42.7,",,W",17.8,0.3,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-06-12,USW00094728,-73.96925,",,W,2400",25.6,42.7,",,W",18.9,7.6,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-06-13,USW00094728,-73.96925,",,W,2400",25.6,42.7,",,W",17.8,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-06-14,USW00094728,-73.96925,",,W,2400",24.4,42.7,",,W",17.2,3.6,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-06-15,USW00094728,-73.96925,",,W,2400",25.0,42.7,",,W",16.1,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-06-16,USW00094728,-73.96925,",,W,2400",26.1,42.7,",,W",17.2,5.8,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-06-17,USW00094728,-73.96925,"T,,W,2400",25.0,42.7,",,W",16.7,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-06-18,USW00094728,-73.96925,",,W,2400",26.7,42.7,",,W",16.7,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-06-19,USW00094728,-73.96925,",,W,2400",27.2,42.7,",,W",18.3,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-06-20,USW00094728,-73.96925,",,W,2400",25.6,42.7,",,W",17.8,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-06-21,USW00094728,-73.96925,",,W,2400",22.8,42.7,",,W",16.7,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-06-22,USW00094728,-73.96925,"T,,W,2400",22.2,42.7,",,W",15.6,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-06-23,USW00094728,-73.96925,",,W,2400",21.7,42.7,",,W",18.3,1.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-06-24,USW00094728,-73.96925,",,W,2400",25.6,42.7,",,W",20.6,1.8,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-06-25,USW00094728,-73.96925,"T,,W,2400",29.4,42.7,",,W",21.7,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-06-26,USW00094728,-73.96925,",,W,2400",25.6,42.7,",,W",20.0,13.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-06-27,USW00094728,-73.96925,",,W,2400",26.1,42.7,",,W",18.9,2.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
